Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,Price_Range,MA_7,MA_30,MA_90,Volatility_30,Volume_MA_30,Day_of_Week,Month,Quarter,Year,Close_Diff
84.35714,84.485718,82.900002,83.117142,71.824791,97637400,-0.7099168292971303,-0.007124487288564706,1.585716000000005,73.26860914285714,74.53765666666666,,2.57025022580361,177332470.0,3,5,2,2012,-0.513542000000001
82.440002,82.622856,80.738571,80.75,69.779243,132498100,-2.8479693035236453,-0.028893107691630032,1.8842850000000055,72.47942014285715,74.39737776666666,,2.6184991298286704,176550150.0,4,5,2,2012,-2.045548000000011
80.214287,81.824287,80.175713,81.354286,70.301445,115029600,0.7483629479901444,0.007455766051505496,1.6485739999999964,71.80539142857143,74.28804446666666,,2.6226077589994734,176797063.33333334,0,5,2,2012,0.5222020000000072
81.368568,81.64286,79.818573,81.168571,70.140945,124313000,-0.22830256191747056,-0.0022856356955010706,1.8242869999999982,71.19132214285715,74.12838386666667,,2.596545912931295,175976313.33333334,1,5,2,2012,-0.16049999999999898
80.528572,81.997147,80.121429,81.311432,70.264397,120176000,0.1760056126988374,0.0017585090432401162,1.875717999999992,70.93031514285714,73.94197666666668,,2.583686806530044,174922766.66666666,2,5,2,2012,0.12345200000000034
82.082855,82.26857,81.205711,81.502853,70.429832,83300000,0.2354464096518294,0.0023516966889174052,1.062859000000003,70.72556942857143,73.74816256666666,65.75791661111111,2.58147456597273,172237263.33333334,3,5,2,2012,0.16543500000000222
80.714287,82.067146,80.621429,80.958572,69.959488,99886500,-0.6678192843055597,-0.006700591751395569,1.4457169999999877,70.38573442857142,73.57060266666667,65.97118082222222,2.5756546989931914,170498160.0,4,5,2,2012,-0.4703440000000114
80.367142,81.072861,79.657143,79.745712,68.911415,88156600,-1.4981141657297248,-0.015094492467734855,1.4157179999999983,69.96953785714285,73.40053176666666,66.16976836666666,2.572085395486885,167344730.0,0,5,2,2012,-1.048072999999988
80.207146,80.459999,78.821426,79.024284,68.287987,119084000,-0.9046803058680553,-0.009087973879117169,1.6385729999999938,69.75650128571428,73.1311671,66.35513294444445,2.4934311066964687,166327933.33333334,1,5,2,2012,-0.6234280000000041
79.150002,79.555717,77.291428,78.011429,67.412743,140224000,-1.2816954173799244,-0.012899799979500729,2.264289000000005,69.34382957142857,72.7886391,66.52477864444445,2.467653701180927,164047403.33333334,2,5,2,2012,-0.875243999999995
77.901428,78.214287,75.73143,75.73143,65.442513,179305000,-2.9226373417263307,-0.029661972183161016,2.4828569999999957,68.672625,72.40105240000001,66.67345176666666,2.508350171073625,165249396.66666666,3,5,2,2012,-1.9702300000000008
76.279999,77.629997,74.597145,75.76857,65.474609,183073100,0.04904457137824281,0.0004903254845923321,3.0328520000000054,67.98836957142858,71.97597836666667,66.82041038888889,2.482003262970697,166007683.33333334,4,5,2,2012,0.032095999999995684
76.35714,80.220001,76.292854,80.182854,69.289162,157776500,5.826003481746644,0.05662608283787958,3.927146999999991,67.82541671428571,71.6675629,67.01069953333334,2.7389288476003655,166287426.66666666,0,5,2,2012,3.8145530000000036
81.364288,81.982857,78.940002,79.567146,68.757088,173717600,-0.7679036441514575,-0.007708672054636925,3.0428549999999888,67.65364528571429,71.37346653333333,67.19666767777778,2.735351131524697,164663636.66666666,1,5,2,2012,-0.5320740000000086
79.64286,81.828575,79.03286,81.508568,70.434761,146224400,2.4400000767920815,0.024107076092862972,2.7957150000000013,67.87126614285714,71.14451093333334,67.40344393333334,2.7829365157484798,163732660.0,2,5,2,2012,1.6776729999999986
82.267143,82.35714,80.175713,80.760002,69.78791,124057500,-0.9183689854502353,-0.009226119910277697,2.1814269999999993,68.08554085714286,70.90810726666668,67.59632557777778,2.7850193243305297,162748436.66666666,3,5,2,2012,-0.6468509999999981
80.655716,80.835716,79.781425,80.327141,69.413841,82126800,-0.536008314334091,-0.0053744999288491925,1.0542910000000063,68.371412,70.73141046666666,67.77900184444445,2.7443836437652083,158322290.0,4,5,2,2012,-0.37406899999999155
81.557144,82.0,80.758568,81.752853,70.645882,95127200,1.774921229326587,0.017593534431863508,1.2414320000000032,69.11475042857144,70.69906743333333,67.97723284444444,2.6631668262174855,152736640.0,1,5,2,2012,1.2320409999999953
81.314285,82.855713,80.937141,82.738571,71.497665,132357400,1.2057079278874339,0.011984971724196027,1.9185719999999975,69.975187,70.57343850000001,68.19514704444444,2.4952043729369477,148602486.66666666,2,5,2,2012,0.8517829999999975
82.96286,83.071426,81.637146,82.53286,71.319878,122918600,-0.24866126746935224,-0.002489709430677473,1.434280000000001,70.26528928571429,70.44747950000001,68.4013333,2.4952374950197527,144745346.66666666,3,5,2,2012,-0.17778699999999503
81.308571,81.807144,80.074287,80.141426,69.253372,130246900,-2.897517575675046,-0.02940324537059481,1.7328569999999957,70.336187,70.3386388,68.59415996666667,2.4725845801452953,142130916.66666666,4,6,2,2012,-2.066506000000004
80.214287,81.071426,78.35714,80.612854,69.660744,139248900,0.5882341729150697,0.005865108305939645,2.7142860000000013,70.22561314285714,70.30287956666666,68.75550716666666,2.4356144536585744,138181003.33333334,0,6,2,2012,0.4073719999999952
